"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 25 16:03:38 CST 2024","Thu Apr 25 16:03:38 CST 2024","0","TestAllure","Test_allure","","","","test_broken",""
"skipped","Thu Apr 25 16:03:38 CST 2024","Thu Apr 25 16:03:38 CST 2024","0","TestAllure","Test_allure","","","","test_skip","this test is skipped"
"passed","Thu Apr 25 16:03:38 CST 2024","Thu Apr 25 16:03:38 CST 2024","0","TestAllure","Test_allure","TestUserLogin","","","成功的登录",""
"failed","Thu Apr 25 16:03:38 CST 2024","Thu Apr 25 16:03:38 CST 2024","16","TestAllure","Test_allure","TestUserLogin","","","失败的登录",""
"passed","Thu Apr 25 16:03:38 CST 2024","Thu Apr 25 16:03:38 CST 2024","0","TestAllure","Test_allure","","","","test_success","this test succeeds"
"failed","Thu Apr 25 16:03:38 CST 2024","Thu Apr 25 16:03:38 CST 2024","0","TestAllure","Test_allure","","","","test_failure","this test fails"
